year,state,sector-name,fuel-name,value,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
1970,Alabama,Total carbon dioxide emissions from all sectors,All Fuels,102.65,61.87,63.083333333333336,-86.8283719359,32.7898321918
1970,Arizona,Total carbon dioxide emissions from all sectors,All Fuels,24.91,59.08,59.35833333333333,-111.664418336,34.2931098705
1970,Arkansas,Total carbon dioxide emissions from all sectors,All Fuels,36.18,59.48,60.40833333333333,-92.4392676639,34.8997453322
1970,California,Total carbon dioxide emissions from all sectors,All Fuels,294.37,57.95,57.34166666666667,-119.610698951,37.2460706736
1970,Colorado,Total carbon dioxide emissions from all sectors,All Fuels,43.02,44.28,44.59166666666667,-105.547824721,38.9985518194
1970,Connecticut,Total carbon dioxide emissions from all sectors,All Fuels,47.83,47.76,48.05833333333334,-72.7257060428,41.6202863352
1970,Delaware,Total carbon dioxide emissions from all sectors,All Fuels,16.07,53.85,54.2,-75.4004040929,38.8870164548
1970,Florida,Total carbon dioxide emissions from all sectors,All Fuels,104.35,69.25,70.125,-81.7974638723,28.628439264699995
1970,Georgia,Total carbon dioxide emissions from all sectors,All Fuels,73.53,62.56,63.31666666666666,-83.4463418309,32.6492290722
1970,Idaho,Total carbon dioxide emissions from all sectors,All Fuels,10.25,42.66,42.583333333333336,-114.659382348,44.0890895052
1970,Illinois,Total carbon dioxide emissions from all sectors,All Fuels,247.21,51.02,51.64166666666667,-89.19839676140002,40.0650409125
1970,Indiana,Total carbon dioxide emissions from all sectors,All Fuels,171.93,50.77,51.325,-86.2756397346,39.9081412284
1970,Iowa,Total carbon dioxide emissions from all sectors,All Fuels,53.47,46.84,47.5,-93.50006496049998,42.0746268788
1970,Kansas,Total carbon dioxide emissions from all sectors,All Fuels,51.08,53.88,54.14166666666667,-98.3802131736,38.4847081514
1970,Kentucky,Total carbon dioxide emissions from all sectors,All Fuels,86.3,54.72,55.50833333333333,-85.2904560935,37.5266674638
1970,Louisiana,Total carbon dioxide emissions from all sectors,All Fuels,144.12,65.14,66.39166666666667,-92.5856620163,31.0584069584
1970,Maine,Total carbon dioxide emissions from all sectors,All Fuels,16.81,40.52,40.09166666666667,-69.2266474552,45.3714334913
1970,Maryland,Total carbon dioxide emissions from all sectors,All Fuels,74.2,53.52,53.76666666666667,-76.7724546076,39.0369222963
